uid,rank,pos_score,max_neg_score,n_train_items,item_popularity,is_cold,hit@5,hit@10,hit@20,ndcg@5,ndcg@10,ndcg@20,activity_segment,pop_bin
36,56,0.12876027822494507,0.4498482346534729,11,5,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q1 (cold)
37,46,0.16126388311386108,0.39785557985305786,25,145,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q4 (popular)
37,10,0.25392869114875793,0.408409982919693,25,4,False,0,0,1,0.0,0.0,0.27894294565112987,Warm (11-30),Q1 (cold)
37,48,0.1438503861427307,0.3961917757987976,25,161,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q4 (popular)
38,40,0.14696234464645386,0.3980451226234436,12,4,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q1 (cold)
39,0,0.16919013857841492,0.16625726222991943,8,5,True,1,1,1,1.0,1.0,1.0,Cold (≤10),Q1 (cold)
40,47,-0.06060723960399628,0.08575500547885895,6,4,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q1 (cold)
41,98,-0.2079329490661621,0.1870313584804535,7,42,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q4 (popular)
42,0,0.6225115656852722,0.3980671167373657,13,14,False,1,1,1,1.0,1.0,1.0,Warm (11-30),Q3
43,11,0.2453363984823227,0.3851056694984436,48,15,False,0,0,1,0.0,0.0,0.27023815442731974,Active (31-100),Q3
43,34,0.17751413583755493,0.4874475598335266,48,15,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q3
43,0,0.4104818105697632,0.3976050317287445,48,4,False,1,1,1,1.0,1.0,1.0,Active (31-100),Q1 (cold)
43,1,0.3847414255142212,0.3913712203502655,48,81,False,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Active (31-100),Q4 (popular)
43,0,0.7402111291885376,0.4935857653617859,48,5,False,1,1,1,1.0,1.0,1.0,Active (31-100),Q1 (cold)
44,0,0.2864622473716736,0.2420845478773117,3,30,True,1,1,1,1.0,1.0,1.0,Cold (≤10),Q4 (popular)
45,0,0.5765815377235413,0.367061972618103,24,4,False,1,1,1,1.0,1.0,1.0,Warm (11-30),Q1 (cold)
45,1,0.3715510070323944,0.3851046562194824,24,9,False,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Warm (11-30),Q2
46,14,-0.0237035620957613,0.09303799271583557,4,30,True,0,0,1,0.0,0.0,0.25,Cold (≤10),Q4 (popular)
47,22,0.05657733231782913,0.35189592838287354,10,11,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q2
48,0,0.5011259913444519,0.3493610918521881,51,6,False,1,1,1,1.0,1.0,1.0,Active (31-100),Q2
48,1,0.33402013778686523,0.3476850092411041,51,4,False,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Active (31-100),Q1 (cold)
48,4,0.2962802052497864,0.35434412956237793,51,15,False,1,1,1,0.38685280723454163,0.38685280723454163,0.38685280723454163,Active (31-100),Q3
48,5,0.30216270685195923,0.501969575881958,51,7,False,0,1,1,0.0,0.3562071871080222,0.3562071871080222,Active (31-100),Q2
48,15,0.23241320252418518,0.3665914535522461,51,2,False,0,0,1,0.0,0.0,0.24465054211822604,Active (31-100),Q1 (cold)
48,5,0.34979861974716187,0.4715946316719055,51,24,False,0,1,1,0.0,0.3562071871080222,0.3562071871080222,Active (31-100),Q3
49,17,0.02199125662446022,0.15769965946674347,5,9,True,0,0,1,0.0,0.0,0.23540891336663824,Cold (≤10),Q2
50,24,0.006341537460684776,0.2877822518348694,6,4,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q1 (cold)
51,27,0.2259863168001175,0.37439924478530884,13,35,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q4 (popular)
52,30,0.010687027126550674,0.14993582665920258,9,59,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q4 (popular)
53,14,0.008918408304452896,0.21113401651382446,8,6,True,0,0,1,0.0,0.0,0.25,Cold (≤10),Q2
54,10,0.08213891088962555,0.3234982490539551,3,7,True,0,0,1,0.0,0.0,0.27894294565112987,Cold (≤10),Q2
55,0,0.2334897518157959,0.1984613686800003,3,21,True,1,1,1,1.0,1.0,1.0,Cold (≤10),Q3
56,36,0.21155579388141632,0.5108377933502197,33,3,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q1 (cold)
56,20,0.2157295048236847,0.38519638776779175,33,145,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q4 (popular)
56,13,0.28284239768981934,0.387797474861145,33,282,False,0,0,1,0.0,0.0,0.2559580248098155,Active (31-100),Q4 (popular)
57,15,0.2687801122665405,0.36444205045700073,21,19,False,0,0,1,0.0,0.0,0.24465054211822604,Warm (11-30),Q3
57,25,0.24353431165218353,0.4021317958831787,21,107,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q4 (popular)
58,4,0.27281245589256287,0.33500587940216064,16,9,False,1,1,1,0.38685280723454163,0.38685280723454163,0.38685280723454163,Warm (11-30),Q2
58,0,0.380389004945755,0.305890828371048,16,107,False,1,1,1,1.0,1.0,1.0,Warm (11-30),Q4 (popular)
59,0,0.3803142309188843,0.3024781346321106,3,11,True,1,1,1,1.0,1.0,1.0,Cold (≤10),Q2
60,37,0.16872867941856384,0.6259708404541016,13,33,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q4 (popular)
61,19,0.24707326292991638,0.5189775228500366,17,3,False,0,0,1,0.0,0.0,0.227670248696953,Warm (11-30),Q1 (cold)
61,3,0.355086088180542,0.38170257210731506,17,8,False,1,1,1,0.43067655807339306,0.43067655807339306,0.43067655807339306,Warm (11-30),Q2
62,1,0.19900095462799072,0.24697619676589966,3,4,True,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Cold (≤10),Q1 (cold)
63,32,-0.02324513904750347,0.13243575394153595,4,85,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q4 (popular)
64,0,0.2708931565284729,0.16412577033042908,7,14,True,1,1,1,1.0,1.0,1.0,Cold (≤10),Q3
65,10,0.13926175236701965,0.18516699969768524,3,9,True,0,0,1,0.0,0.0,0.27894294565112987,Cold (≤10),Q2
66,0,0.5087904930114746,0.487525999546051,16,3,False,1,1,1,1.0,1.0,1.0,Warm (11-30),Q1 (cold)
67,12,0.28065937757492065,0.37110307812690735,29,151,False,0,0,1,0.0,0.0,0.26264953503719357,Warm (11-30),Q4 (popular)
67,0,0.39387285709381104,0.3452143371105194,29,12,False,1,1,1,1.0,1.0,1.0,Warm (11-30),Q2
67,13,0.27128133177757263,0.38699162006378174,29,16,False,0,0,1,0.0,0.0,0.2559580248098155,Warm (11-30),Q3
68,24,0.21693524718284607,0.3441471457481384,21,50,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q4 (popular)
68,5,0.32970649003982544,0.4741356670856476,21,31,False,0,1,1,0.0,0.3562071871080222,0.3562071871080222,Warm (11-30),Q4 (popular)
69,25,0.24430657923221588,0.3978673815727234,19,35,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q4 (popular)
69,37,0.22183099389076233,0.485529363155365,19,33,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q4 (popular)
70,7,0.10339447855949402,0.21395620703697205,9,135,True,0,1,1,0.0,0.31546487678572877,0.31546487678572877,Cold (≤10),Q4 (popular)
71,46,-0.020436273887753487,0.3312068581581116,6,3,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q1 (cold)
72,52,-0.105802521109581,0.08283649384975433,3,7,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q2
73,1,0.17810377478599548,0.18013319373130798,7,135,True,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Cold (≤10),Q4 (popular)
74,13,0.07390353828668594,0.1746993362903595,7,17,True,0,0,1,0.0,0.0,0.2559580248098155,Cold (≤10),Q3
75,56,-0.04795738309621811,0.3091587424278259,3,8,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q2
76,43,-0.02070578932762146,0.1331689953804016,4,44,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q4 (popular)
77,2,0.33108633756637573,0.39674922823905945,32,7,False,1,1,1,0.5,0.5,0.5,Active (31-100),Q2
77,17,0.23281843960285187,0.3595026135444641,32,9,False,0,0,1,0.0,0.0,0.23540891336663824,Active (31-100),Q2
77,2,0.3299097418785095,0.3563101291656494,32,21,False,1,1,1,0.5,0.5,0.5,Active (31-100),Q3
77,0,0.39862802624702454,0.3726966679096222,32,19,False,1,1,1,1.0,1.0,1.0,Active (31-100),Q3
78,5,0.14476537704467773,0.22938670217990875,9,5,True,0,1,1,0.0,0.3562071871080222,0.3562071871080222,Cold (≤10),Q1 (cold)
79,28,0.17372627556324005,0.5105186700820923,14,1,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q1 (cold)
80,60,0.09950917959213257,0.3821529448032379,11,4,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q1 (cold)
81,3,0.35055363178253174,0.4562045931816101,73,67,False,1,1,1,0.43067655807339306,0.43067655807339306,0.43067655807339306,Active (31-100),Q4 (popular)
81,39,0.20715764164924622,0.4469345808029175,73,4,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q1 (cold)
81,2,0.3619111180305481,0.3719722330570221,73,14,False,1,1,1,0.5,0.5,0.5,Active (31-100),Q3
81,2,0.34751784801483154,0.49176400899887085,73,70,False,1,1,1,0.5,0.5,0.5,Active (31-100),Q4 (popular)
81,19,0.24270081520080566,0.3930811882019043,73,48,False,0,0,1,0.0,0.0,0.227670248696953,Active (31-100),Q4 (popular)
81,1,0.34694892168045044,0.3518444895744324,73,14,False,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Active (31-100),Q3
81,5,0.2792772948741913,0.3126690685749054,73,4,False,0,1,1,0.0,0.3562071871080222,0.3562071871080222,Active (31-100),Q1 (cold)
81,24,0.24987566471099854,0.40634602308273315,73,5,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q1 (cold)
82,19,0.03587816655635834,0.24254938960075378,4,2,True,0,0,1,0.0,0.0,0.227670248696953,Cold (≤10),Q1 (cold)
83,9,0.1459352672100067,0.24752891063690186,4,3,True,0,1,1,0.0,0.2890648263178879,0.2890648263178879,Cold (≤10),Q1 (cold)
84,49,0.07082716375589371,0.4360814690589905,4,8,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q2
85,7,0.14749090373516083,0.31226712465286255,7,10,True,0,1,1,0.0,0.31546487678572877,0.31546487678572877,Cold (≤10),Q2
86,9,0.10010837018489838,0.17072325944900513,7,10,True,0,1,1,0.0,0.2890648263178879,0.2890648263178879,Cold (≤10),Q2
87,14,0.08308643102645874,0.2778400778770447,7,12,True,0,0,1,0.0,0.0,0.25,Cold (≤10),Q2
88,90,-0.1852484792470932,0.40052154660224915,4,62,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q4 (popular)
89,11,0.18644772469997406,0.3103322386741638,15,6,False,0,0,1,0.0,0.0,0.27023815442731974,Warm (11-30),Q2
90,8,0.13155171275138855,0.23570194840431213,3,4,True,0,1,1,0.0,0.3010299956639812,0.3010299956639812,Cold (≤10),Q1 (cold)
91,5,0.1715652346611023,0.2892037332057953,5,48,True,0,1,1,0.0,0.3562071871080222,0.3562071871080222,Cold (≤10),Q4 (popular)
92,13,0.07482732832431793,0.25708088278770447,7,12,True,0,0,1,0.0,0.0,0.2559580248098155,Cold (≤10),Q2
93,93,-0.12901578843593597,0.21586181223392487,10,6,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q2
94,2,0.33005183935165405,0.3797375559806824,7,142,True,1,1,1,0.5,0.5,0.5,Cold (≤10),Q4 (popular)
95,0,0.39588937163352966,0.26367050409317017,4,81,True,1,1,1,1.0,1.0,1.0,Cold (≤10),Q4 (popular)
96,31,0.2131986916065216,0.428016722202301,12,49,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q4 (popular)
97,60,-0.12254922837018967,0.12946602702140808,10,34,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q4 (popular)
98,59,-0.04558299481868744,0.41690611839294434,3,9,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q2
99,11,0.0616760216653347,0.3095042407512665,3,3,True,0,0,1,0.0,0.0,0.27023815442731974,Cold (≤10),Q1 (cold)
100,5,0.13529621064662933,0.21351736783981323,6,111,True,0,1,1,0.0,0.3562071871080222,0.3562071871080222,Cold (≤10),Q4 (popular)
101,0,0.3249816596508026,0.27607932686805725,7,59,True,1,1,1,1.0,1.0,1.0,Cold (≤10),Q4 (popular)
102,0,0.3187195062637329,0.25824493169784546,19,13,False,1,1,1,1.0,1.0,1.0,Warm (11-30),Q3
102,27,0.19639524817466736,0.42522647976875305,19,23,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q3
103,17,0.2799130380153656,0.4659905731678009,16,2,False,0,0,1,0.0,0.0,0.23540891336663824,Warm (11-30),Q1 (cold)
104,5,0.24979829788208008,0.2863816022872925,11,10,False,0,1,1,0.0,0.3562071871080222,0.3562071871080222,Warm (11-30),Q2
105,4,0.11492808163166046,0.1857568323612213,5,1,True,1,1,1,0.38685280723454163,0.38685280723454163,0.38685280723454163,Cold (≤10),Q1 (cold)
106,72,0.09772741794586182,0.3470097780227661,59,4,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q1 (cold)
106,65,0.12779176235198975,0.2977706789970398,59,14,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q3
106,55,0.14675821363925934,0.3232904374599457,59,4,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q1 (cold)
106,35,0.19284871220588684,0.32059067487716675,59,1,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q1 (cold)
106,2,0.3402223289012909,0.4348553419113159,59,12,False,1,1,1,0.5,0.5,0.5,Active (31-100),Q2
106,65,0.11919528245925903,0.3232904374599457,59,6,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q2
106,4,0.31462475657463074,0.40545904636383057,59,16,False,1,1,1,0.38685280723454163,0.38685280723454163,0.38685280723454163,Active (31-100),Q3
107,3,0.11980690062046051,0.30048736929893494,3,12,True,1,1,1,0.43067655807339306,0.43067655807339306,0.43067655807339306,Cold (≤10),Q2
108,5,0.0515156090259552,0.2119515836238861,5,9,True,0,1,1,0.0,0.3562071871080222,0.3562071871080222,Cold (≤10),Q2
109,96,-0.12635186314582825,0.3359559178352356,3,6,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q2
110,65,-0.13198551535606384,0.05812246352434158,3,4,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q1 (cold)
111,41,-0.0186760313808918,0.1900394707918167,4,37,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q4 (popular)
112,4,0.1601821929216385,0.34158632159233093,3,75,True,1,1,1,0.38685280723454163,0.38685280723454163,0.38685280723454163,Cold (≤10),Q4 (popular)
113,32,0.1686168909072876,0.3785715699195862,12,4,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q1 (cold)
114,14,0.015405625104904175,0.10562467575073242,4,11,True,0,0,1,0.0,0.0,0.25,Cold (≤10),Q2
115,10,0.2517474293708801,0.44758331775665283,25,3,False,0,0,1,0.0,0.0,0.27894294565112987,Warm (11-30),Q1 (cold)
115,4,0.31489062309265137,0.4238399565219879,25,3,False,1,1,1,0.38685280723454163,0.38685280723454163,0.38685280723454163,Warm (11-30),Q1 (cold)
116,1,0.2657736539840698,0.3180686831474304,3,2,True,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Cold (≤10),Q1 (cold)
117,4,0.10869403183460236,0.15592744946479797,3,37,True,1,1,1,0.38685280723454163,0.38685280723454163,0.38685280723454163,Cold (≤10),Q4 (popular)
118,12,0.11111362278461456,0.2782570421695709,6,8,True,0,0,1,0.0,0.0,0.26264953503719357,Cold (≤10),Q2
119,5,0.2862677574157715,0.3737773895263672,16,2,False,0,1,1,0.0,0.3562071871080222,0.3562071871080222,Warm (11-30),Q1 (cold)
120,3,0.3469538688659668,0.4004036784172058,73,52,False,1,1,1,0.43067655807339306,0.43067655807339306,0.43067655807339306,Active (31-100),Q4 (popular)
120,0,0.4352417290210724,0.42178308963775635,73,3,False,1,1,1,1.0,1.0,1.0,Active (31-100),Q1 (cold)
120,13,0.2434690296649933,0.401098370552063,73,5,False,0,0,1,0.0,0.0,0.2559580248098155,Active (31-100),Q1 (cold)
120,8,0.2836899757385254,0.37023013830184937,73,67,False,0,1,1,0.0,0.3010299956639812,0.3010299956639812,Active (31-100),Q4 (popular)
120,0,0.4417298138141632,0.3832342028617859,73,5,False,1,1,1,1.0,1.0,1.0,Active (31-100),Q1 (cold)
120,0,0.3933368921279907,0.3817097544670105,73,14,False,1,1,1,1.0,1.0,1.0,Active (31-100),Q3
120,4,0.3467445969581604,0.4470686912536621,73,110,False,1,1,1,0.38685280723454163,0.38685280723454163,0.38685280723454163,Active (31-100),Q4 (popular)
120,0,0.4053477644920349,0.35301584005355835,73,12,False,1,1,1,1.0,1.0,1.0,Active (31-100),Q2
121,53,0.20361557602882385,0.3727220892906189,77,8,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q2
121,41,0.24463975429534912,0.4719838500022888,77,22,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q3
121,8,0.33479416370391846,0.38590970635414124,77,26,False,0,1,1,0.0,0.3010299956639812,0.3010299956639812,Active (31-100),Q3
121,19,0.3083777129650116,0.44786205887794495,77,110,False,0,0,1,0.0,0.0,0.227670248696953,Active (31-100),Q4 (popular)
121,8,0.33306679129600525,0.3945719301700592,77,4,False,0,1,1,0.0,0.3010299956639812,0.3010299956639812,Active (31-100),Q1 (cold)
121,21,0.302754282951355,0.5171034336090088,77,117,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q4 (popular)
121,6,0.3453217148780823,0.4692032039165497,77,85,False,0,1,1,0.0,0.3333333333333333,0.3333333333333333,Active (31-100),Q4 (popular)
121,4,0.35436713695526123,0.48606425523757935,77,130,False,1,1,1,0.38685280723454163,0.38685280723454163,0.38685280723454163,Active (31-100),Q4 (popular)
121,82,0.14704644680023193,0.39881056547164917,77,11,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q2
122,22,0.24518615007400513,0.3774871826171875,25,4,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q1 (cold)
122,55,0.1838223785161972,0.4382399022579193,25,49,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q4 (popular)
122,23,0.25464290380477905,0.4354615807533264,25,20,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q3
123,78,-0.125764399766922,0.3336484432220459,5,55,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q4 (popular)
124,1,0.1792900711297989,0.22711554169654846,6,10,True,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Cold (≤10),Q2
125,83,-0.13291826844215393,0.42014506459236145,8,19,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q3
126,1,0.3861686587333679,0.5314809083938599,22,24,False,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Warm (11-30),Q3
126,5,0.245571106672287,0.3441765308380127,22,11,False,0,1,1,0.0,0.3562071871080222,0.3562071871080222,Warm (11-30),Q2
127,48,0.01463946420699358,0.1942892074584961,6,74,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q4 (popular)
128,0,0.3814435601234436,0.3648792505264282,77,8,False,1,1,1,1.0,1.0,1.0,Active (31-100),Q2
128,53,0.20633020997047424,0.44383248686790466,77,3,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q1 (cold)
128,1,0.39798703789711,0.4182143211364746,77,7,False,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Active (31-100),Q2
128,46,0.19712767004966736,0.3788442015647888,77,4,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q1 (cold)
128,5,0.32443463802337646,0.3953368663787842,77,67,False,0,1,1,0.0,0.3562071871080222,0.3562071871080222,Active (31-100),Q4 (popular)
128,79,0.13271495699882507,0.3567342758178711,77,5,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q1 (cold)
128,0,0.44710612297058105,0.44383248686790466,77,15,False,1,1,1,1.0,1.0,1.0,Active (31-100),Q3
128,71,0.14946971833705902,0.41003990173339844,77,5,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q1 (cold)
128,8,0.3085217773914337,0.3883756399154663,77,13,False,0,1,1,0.0,0.3010299956639812,0.3010299956639812,Active (31-100),Q3
129,2,0.3412483334541321,0.36752432584762573,40,29,False,1,1,1,0.5,0.5,0.5,Active (31-100),Q3
129,6,0.3106226921081543,0.4987454414367676,40,5,False,0,1,1,0.0,0.3333333333333333,0.3333333333333333,Active (31-100),Q1 (cold)
129,28,0.21830368041992188,0.3799858093261719,40,14,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q3
129,27,0.2116067111492157,0.3929487466812134,40,14,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q3
129,58,0.1471567451953888,0.35386916995048523,40,8,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q2
130,24,0.04844490438699722,0.21446755528450012,3,4,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q1 (cold)
131,1,0.12207365036010742,0.1268250048160553,10,10,True,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Cold (≤10),Q2
132,40,0.23794379830360413,0.37441539764404297,126,27,False,0,0,0,0.0,0.0,0.0,Power (>100),Q3
132,8,0.29732075333595276,0.37017959356307983,126,29,False,0,1,1,0.0,0.3010299956639812,0.3010299956639812,Power (>100),Q3
132,7,0.3229551315307617,0.37830767035484314,126,11,False,0,1,1,0.0,0.31546487678572877,0.31546487678572877,Power (>100),Q2
132,14,0.30427286028862,0.36646050214767456,126,74,False,0,0,1,0.0,0.0,0.25,Power (>100),Q4 (popular)
